,basin_id,latitude,longitude,pax_strength,regions
136,820,34.0514,-6.7514,1100.846,Africa
137,821,34.9889,-3.0283,773.472,Africa
138,823,35.7269,-5.9169,1353.86,Africa
139,830,47.4369,19.2556,16173.489,Europe
140,831,47.4889,21.6153,25.612,Europe
141,832,46.6864,17.1592,9.123,Europe
142,835,53.125,6.5833,161.433,Europe
143,836,51.45,5.3744,5832.697,Europe
144,837,52.3081,4.7642,75785.553,Europe
145,838,50.9158,5.7769,864.479,Europe
146,859,14.5911,-61.0031,2050.03,North America
147,905,53.8825,28.0308,5101.766,Europe
148,908,36.6967,24.4728,77.627,Europe
149,910,35.5317,24.1497,5806.456,Europe
150,911,39.6964,20.8225,133.375,Europe
151,913,37.0683,22.0256,341.281,Europe
152,914,36.4056,28.0861,10831.883,Europe
153,915,37.9364,23.9444,25573.665,Europe
154,917,38.9256,20.7653,1249.305,Europe
155,920,37.7508,20.8842,1762.593,Europe
156,923,36.58,26.3756,15.261,Europe
157,924,36.3992,25.4794,2276.705,Europe
158,926,38.9683,24.4881,17.451,Europe
159,928,35.3397,25.1803,7843.587,Europe
160,929,37.69,26.9117,545.828,Europe
161,932,37.435,25.3481,1614.227,Europe
162,934,36.2742,23.0169,39.584,Europe
163,935,38.12,20.5006,769.869,Europe
164,939,36.7933,27.0917,5260.449,Europe
165,996,20.5217,-86.9369,546.423,Central America
166,1027,32.6306,-115.2417,169.748,Central America
167,1034,32.5411,-116.9703,1298.834,Central America
168,1036,21.0367,-86.8772,25481.989,Central America
169,1040,27.1558,77.9608,22.278,Asia
170,1041,32.6892,74.8375,1337.125,Asia
171,1045,30.6733,76.7886,2165.992,Asia
172,1053,12.9944,80.1806,22819.719,Asia
173,1055,18.5822,73.9197,8437.989,Asia
174,1057,26.8242,75.8122,4885.597,Asia
175,1059,25.5914,85.0881,4107.311,Asia
176,1065,10.7653,78.7097,1666.175,Asia
177,1068,31.7097,74.7972,2563.719,Asia
178,1070,32.1653,76.2606,140.095,Asia
179,1073,26.7411,83.45,463.724,Asia
180,1083,10.1519,76.4019,10280.152,Asia
181,1084,8.4822,76.92,4050.099,Asia
182,1085,13.1989,77.7056,33655.566,Asia
183,1088,30.8542,75.9536,11.736,Asia
184,1090,19.0886,72.8681,47297.919,Asia
185,1099,28.5664,77.1031,68490.78,Asia
186,1100,30.1897,78.1803,1327.183,Asia
187,1107,25.4522,82.8594,3041.501,Asia
188,1108,11.9683,79.8114,70.73,Asia
189,1113,13.6325,79.5433,852.419,Asia
190,1116,56.9236,23.9711,7798.394,Europe
191,1142,65.4611,12.2175,131.208,Europe
192,1143,59.3453,5.2083,684.408,Europe
193,1145,62.5603,6.1103,1147.666,Europe
194,1146,67.2692,14.3653,1872.649,Europe
195,1147,58.8767,5.6378,4309.723,Europe
196,1149,63.4575,10.9242,4381.921,Europe
